,car,price,body,mileage,engV,engType,registration,year,model,drive
507,Land Rover,83000.0,crossover,16,3.0,Petrol,yes,2015,Range Rover Sport,
508,Mercedes-Benz,0.0,sedan,16,3.0,Diesel,yes,2014,S 350,front
509,Mercedes-Benz,104000.0,crossover,16,5.5,Petrol,yes,2015,ML 63 AMG,full
510,Mercedes-Benz,0.0,sedan,16,3.0,Diesel,yes,2014,S 350,full
511,Smart,12000.0,other,16,1.0,Petrol,yes,2014,Fortwo,rear
512,BMW,112000.0,sedan,16,3.0,Diesel,yes,2015,730,full
513,Mercedes-Benz,144900.0,sedan,16,3.0,Diesel,yes,2014,S 350,full
514,BMW,89999.0,crossover,17,4.4,Petrol,yes,2015,X6 M,full
515,Toyota,26250.0,sedan,17,2.5,Petrol,yes,2015,Camry,front
516,BMW,36900.0,sedan,17,2.0,Petrol,yes,2013,520,rear
517,Tesla,82300.0,sedan,17,1.8,Other,yes,2014,Model S,rear
518,Peugeot,21900.0,other,17,1.6,Petrol,yes,2011,RCZ,front
519,Toyota,10500.0,hatch,17,1.0,Petrol,yes,2016,Yaris,front
520,VAZ,650.0,sedan,17,1.5,Petrol,yes,1988,2107,rear
521,Jaguar,26000.0,sedan,17,3.0,Petrol,yes,2009,XF,rear
522,Geely,6300.0,hatch,17,1.5,Petrol,yes,2012,MK Cross,front
523,Geely,4900.0,sedan,17,1.5,Petrol,yes,2013,CK-2,
524,Mercedes-Benz,125000.0,sedan,17,3.0,Diesel,yes,2015,S 350,full
525,Hyundai,17950.0,crossover,17,2.0,Petrol,yes,2013,Santa FE,full
526,Citroen,10300.0,van,17,1.4,Petrol,yes,2011,C3 Picasso,front
527,Mercedes-Benz,125000.0,sedan,18,3.0,Diesel,yes,2015,S 350,full
528,Audi,39000.0,sedan,18,1.8,Other,yes,2015,A5,front
529,Nissan,94500.0,other,18,3.8,Petrol,yes,2014,GT-R,full
530,Nissan,94900.0,other,18,3.8,Petrol,yes,2013,GT-R,full
531,Geely,6700.0,crossover,18,1.8,Gas,yes,2014,MK Cross,full
